[true theta], [true dTheta], [ar], [at], [imu dtheta]
0.000000, NaN, 0.402588, -0.907227, 0.029798
0.000000, NaN, 0.391846, -0.892822, 0.040441
0.000000, NaN, 0.421631, -0.896484, 0.041505
0.000000, NaN, 0.407227, -0.891357, 0.034055
0.000000, NaN, 0.402832, -0.884521, 0.030863
0.000000, 0.000000, 0.399414, -0.894531, 0.031927
0.000000, 0.000000, 0.406006, -0.912109, 0.041505
0.000000, 0.000000, 0.410645, -0.897217, 0.041505
0.000000, 0.000000, 0.408691, -0.893066, 0.031927
0.000000, 0.000000, 0.414795, -0.904053, 0.028734
0.000000, 0.000000, 0.400146, -0.894287, 0.036184
0.000000, 0.000000, 0.396240, -0.890137, 0.040441
0.000000, 0.000000, 0.389160, -0.886230, 0.034055
0.000000, 0.000000, 0.411377, -0.893799, 0.040441
0.000000, 0.000000, 0.398438, -0.903076, 0.035119
0.000000, 0.000000, 0.401123, -0.891113, 0.037248
0.000000, 0.000000, 0.403076, -0.895020, 0.039376
0.000000, 0.000000, 0.411621, -0.897461, 0.037248
0.000000, 0.000000, 0.403076, -0.896973, 0.032991
0.000000, 0.000000, 0.409668, -0.898193, 0.038312
0.000000, 0.000000, 0.402588, -0.893555, 0.039376
0.000000, 0.000000, 0.408447, -0.892334, 0.041505
0.000000, 0.000000, 0.411865, -0.895996, 0.031927
0.000000, 0.000000, 0.402832, -0.904053, 0.036184
0.000000, 0.000000, 0.398682, -0.892334, 0.036184
0.000000, 0.000000, 0.398926, -0.897949, 0.037248
0.000000, 0.000000, 0.405762, -0.895508, 0.037248
0.000000, 0.000000, 0.414307, -0.896240, 0.037248
0.000000, 0.000000, 0.406250, -0.896240, 0.034055
0.000000, 0.000000, 0.393555, -0.896973, 0.035119
0.000000, 0.000000, 0.412354, -0.890625, 0.037248
0.000000, 0.000000, 0.402588, -0.896484, 0.035119
0.000000, 0.000000, 0.408936, -0.897949, 0.034055
0.000000, 0.000000, 0.397461, -0.894287, 0.038312
0.000000, 0.000000, 0.400391, -0.895020, 0.037248
0.000000, 0.000000, 0.406982, -0.890869, 0.035119
0.000000, 0.000000, 0.399414, -0.894531, 0.035119
0.000000, 0.000000, 0.410645, -0.896973, 0.034055
0.000000, 0.000000, 0.407227, -0.898438, 0.038312
0.000000, 0.000000, 0.407227, -0.892578, 0.039376
