[true theta], [true dTheta], [ar], [at], [imu dtheta]
0.000000, 0.000000, 1.027832, 0.078125, 0.036184
0.000000, 0.000000, 0.990234, -0.010254, 0.030863
0.000000, 0.000000, 1.036133, 0.053955, 0.041505
0.000000, 0.000000, 1.007080, 0.053711, 0.035119
0.000000, 0.000000, 0.999756, 0.025879, 0.036184
0.000000, 0.000000, 0.982422, 0.015137, 0.038312
0.000000, 0.000000, 1.003662, 0.045654, 0.041505
0.000000, 0.000000, 1.004150, 0.035156, 0.039376
0.000000, 0.000000, 1.000488, 0.026855, 0.039376
0.000000, 0.000000, 0.997559, 0.042725, 0.038312
0.000000, 0.000000, 1.000244, 0.029297, 0.035119
0.000000, 0.000000, 1.006104, 0.038086, 0.037248
0.000000, 0.000000, 0.997070, 0.036133, 0.037248
0.000000, 0.000000, 0.995605, 0.033691, 0.039376
0.000000, 0.000000, 0.995361, 0.030029, 0.038312
0.000000, 0.000000, 0.999023, 0.046143, 0.035119
0.000000, 0.000000, 0.994141, 0.032471, 0.037248
0.000000, 0.000000, 1.010742, 0.032227, 0.040441
0.000000, 0.000000, 1.002930, 0.047363, 0.037248
0.000000, 0.000000, 0.997559, 0.032715, 0.032991
0.000000, 0.000000, 1.001221, 0.030518, 0.037248
0.000000, 0.000000, 0.993164, 0.039307, 0.037248
0.000000, 0.000000, 1.000732, 0.039307, 0.036184
0.000000, 0.000000, 0.995361, 0.028564, 0.034055
0.000000, 0.000000, 0.998779, 0.026367, 0.038312
0.000000, 0.000000, 1.011230, 0.037354, 0.040441
0.000000, 0.000000, 0.995117, 0.039063, 0.039376
0.000000, 0.000000, 0.997559, 0.037842, 0.038312
0.000000, 0.000000, 0.996826, 0.037842, 0.038312
0.000000, 0.000000, 1.006592, 0.038330, 0.035119
0.000000, 0.000000, 0.998535, 0.030762, 0.036184
0.000000, 0.000000, 0.988037, 0.034424, 0.037248
0.000000, 0.000000, 1.000977, 0.035156, 0.038312
0.000000, 0.000000, 0.995117, 0.036377, 0.037248
0.000000, 0.000000, 1.002686, 0.036621, 0.036184
0.000000, 0.000000, 0.993408, 0.037109, 0.042569
0.000000, 0.000000, 0.996094, 0.045410, 0.038312
0.000000, 0.000000, 1.003174, 0.035156, 0.032991
0.000000, 0.000000, 0.999023, 0.034668, 0.036184
0.000000, 0.000000, 0.996826, 0.027832, 0.036184
0.000000, 0.000000, 0.996826, 0.041504, 0.037248
0.000000, 0.000000, 1.001953, 0.035889, 0.037248
0.000000, 0.000000, 0.995850, 0.035400, 0.039376
0.000000, 0.000000, 0.998779, 0.038086, 0.035119
0.000000, 0.000000, 0.990967, 0.030029, 0.037248
0.000000, 0.000000, 1.005371, 0.029541, 0.036184
0.000000, 0.000000, 0.995605, 0.039307, 0.037248
0.000000, 0.000000, 1.000244, 0.035156, 0.038312
0.000000, 0.000000, 1.002930, 0.037598, 0.041505
0.000000, 0.000000, 0.999512, 0.038330, 0.038312
0.000000, 0.000000, 0.996582, 0.039551, 0.038312
0.000000, 0.000000, 1.000244, 0.040039, 0.039376
0.000000, 0.000000, 0.992676, 0.042725, 0.038312
0.000000, 0.000000, 0.996094, 0.038086, 0.035119
0.000000, 0.000000, 0.996582, 0.040283, 0.035119
0.000000, 0.000000, 0.996094, 0.029297, 0.039376
0.000000, 0.000000, 1.002441, 0.038574, 0.040441
0.000000, 0.000000, 0.989258, 0.042236, 0.037248
0.000000, 0.000000, 0.998779, 0.023682, 0.031927
0.000000, 0.000000, 1.000977, 0.031250, 0.040441
0.000000, 0.000000, 0.994629, 0.037109, 0.040441
0.000000, 0.000000, 0.994873, 0.045410, 0.037248
0.000000, 0.000000, 0.999756, 0.029053, 0.029798
0.000000, 0.000000, 0.998535, 0.018555, 0.039376
0.000000, 0.000000, 0.985596, 0.046143, 0.043633
0.000000, 0.000000, 1.002441, 0.044434, 0.031927
0.000000, 0.000000, 0.995605, 0.027344, 0.036184
