aX, aY, aZ, rX, rY, rZ
388, 14760, 5904, -392, 19, -77,
528, 14720, 6192, -325, 73, -90,
444, 14932, 6224, -266, 52, -79,
420, 14984, 6068, -319, 91, -77,
336, 15236, 5992, -504, -2, -73,
372, 15076, 5884, -670, -51, -69,
584, 14860, 6156, -686, 30, -88,
312, 15188, 5944, -738, 43, -65,
416, 16184, 6104, -1333, -35, -97,
572, 16112, 6280, -2127, 45, -34,
432, 15240, 6360, -2543, 5, -41,
372, 14852, 6260, -2637, -16, -60,
384, 15592, 6400, -2971, -42, -70,
464, 15552, 6600, -3479, 26, -69,
324, 14876, 6664, -3782, 53, -30,
500, 14532, 6716, -3776, 61, -40,
304, 14540, 6864, -3754, 48, -77,
436, 14728, 7048, -3826, 32, -43,
368, 14788, 7064, -4062, 52, -33,
564, 14892, 7280, -4313, 36, -29,
448, 15260, 7228, -4755, 67, -10,
332, 15732, 7380, -5552, -28, -16,
548, 15776, 7772, -6480, -52, -35,
452, 15644, 7896, -7399, -15, -31,
436, 15112, 7896, -8280, -17, -22,
588, 14636, 8192, -8935, -18, -16,
540, 14196, 8436, -9411, -24, 11,
472, 13948, 8740, -9845, 1, 1,
452, 13280, 9048, -10038, -24, 16,
540, 13044, 9380, -10164, -39, 2,
512, 13028, 9868, -10323, -4, -8,
460, 13052, 9964, -10709, -36, 0,
696, 11972, 10168, -10875, 36, -12,
380, 11224, 10564, -10569, -23, 3,
648, 11280, 10872, -10367, -28, -4,
472, 11084, 11060, -10186, -31, -10,
496, 10712, 11392, -10090, -43, 5,
708, 10644, 11660, -10052, -51, 11,
424, 10240, 12124, -10020, -49, -26,
456, 9436, 11984, -9796, -29, -8,
752, 10012, 12348, -9735, -17, -5,
520, 10020, 12700, -10069, -65, -3,
704, 9180, 12804, -10223, -78, -5,
356, 8696, 13116, -10223, -19, 4,
756, 7764, 13520, -9935, 18, -8,
-16, 7112, 13416, -9363, -53, -33,
836, 7136, 13964, -8819, -43, -28,
312, 7216, 14132, -8406, -38, -18,
536, 7392, 14168, -8372, -6, -18,
660, 7364, 14084, -8441, -86, 2,
808, 7280, 14392, -8577, -21, -1,
528, 7056, 14440, -8915, -16, -14,
580, 6576, 14676, -9252, -6, -22,
748, 5560, 14948, -9222, -39, -1,
548, 5708, 14872, -9176, -15, 0,
656, 6256, 14968, -9532, 28, -22,
1140, 6200, 15220, -10219, -38, 6,
-44, 5028, 14960, -10685, -156, 9,
732, 4372, 15368, -10924, 57, 10,
904, 3936, 15288, -10994, -26, -3,
616, 3400, 15388, -11059, -40, 19,
-200, 1244, 15632, -10765, -158, -16,
980, 1572, 15948, -9881, -67, 3,
236, 1276, 16016, -9399, -64, 4,
988, 1096, 16096, -8976, 5, 18,
916, 1276, 15852, -8781, 32, 4,
444, 1800, 15820, -8999, -7, -5,
856, 2204, 15948, -9625, -13, 8,
716, 1284, 15756, -10254, -82, 3,
532, 216, 15896, -10506, -51, 18,
832, -604, 16040, -10406, -50, 16,
588, -768, 15748, -10334, -25, 16,
588, -708, 15776, -10513, -110, 11,
972, -1436, 15940, -10755, -78, 24,
736, -2008, 15708, -10803, -159, -2,
712, -2360, 15552, -10693, -60, 7,
696, -2556, 15600, -10822, -101, 18,
988, -3152, 15460, -10849, -44, 19,
660, -3792, 15584, -10712, -80, 10,
632, -4464, 15496, -10499, -45, 24,
